Date  ,Spot Price,Futures Price  ,Open Interest ,Change in OI,Basis,% Basis,Price*Lot Size,Margin Account Change,Margin Account,Margin Call,Futures Spread,Futures Bid,Futures Ask,Spot Spread,Spot Bid,Spot Ask,TTM
03-Oct-2023,87.1259,87.3625,"132,600.00",765,-0.2366,-0.27%,87362.5,4368.125,4368.125,FALSE,1.083281162,86.82085942,87.90414058,0.5737456713,86.83902716,87.41277284,0.06575342466
04-Oct-2023,87.5084,87.69,"131,835.00",-8596,-0.1816,-0.21%,87690,327.5,4695.625,FALSE,-0.9193811408,88.14969057,87.23030943,-0.3497730276,87.68328651,87.33351349,0.06301369863
05-Oct-2023,87.8164,87.735,"140,431.00",14938,0.0814,0.09%,87735,45,4740.625,FALSE,-0.3476000242,87.90880001,87.56119999,0.5833850854,87.52470746,88.10809254,0.0602739726
06-Oct-2023,87.9748,87.98,"125,493.00",3713,-0.0052,-0.01%,87980,245,4985.625,FALSE,2.069146986,86.94542651,89.01457349,-0.09554029719,88.02257015,87.92702985,0.05753424658
09-Oct-2023,87.9877,87.86,"121,780.00",3828,0.1277,0.15%,87860,-120,4865.625,FALSE,-1.241935915,88.48096796,87.23903204,0.8501993686,87.56260032,88.41279968,0.04931506849
10-Oct-2023,88.2126,88.255,"117,952.00",-3501,-0.0424,-0.05%,88255,395,5260.625,FALSE,-0.3990956802,88.45454784,88.05545216,0.231800013,88.09669999,88.32850001,0.04657534247
11-Oct-2023,88.3161,88.3275,"121,453.00",-2651,-0.0114,-0.01%,88327.5,72.5,5333.125,FALSE,0.6423980716,88.00630096,88.64869904,0.9086773,87.86176135,88.77043865,0.04383561644
12-Oct-2023,87.7104,88.48,"124,104.00",-8815,-0.7696,-0.88%,88480,152.5,5485.625,FALSE,0.6539704351,88.15301478,88.80698522,0.01385886321,87.70347057,87.71732943,0.04109589041
13-Oct-2023,87.5127,87.705,"132,919.00",-1791,-0.1923,-0.22%,87705,-775,4710.625,FALSE,2.082516884,86.66374156,88.74625844,0.8661677741,87.07961611,87.94578389,0.03835616438
16-Oct-2023,87.8354,87.7725,"134,710.00",6954,0.0629,0.07%,87772.5,67.5,4778.125,FALSE,0.1538471937,87.6955764,87.8494236,0.4819088508,87.59444557,88.07635443,0.0301369863
17-Oct-2023,88.0501,88.02,"127,756.00",600,0.0301,0.03%,88020,247.5,5025.625,FALSE,-0.1385348797,88.08926744,87.95073256,0.2385482905,87.93082585,88.16937415,0.02739726027
18-Oct-2023,87.7487,87.965,"127,156.00",5805,-0.2163,-0.25%,87965,-55,4970.625,FALSE,0.3065554124,87.81172229,88.11827771,0.2071900823,87.64510496,87.85229504,0.02465753425
19-Oct-2023,87.959,87.9025,"121,351.00",-2306,0.0565,0.06%,87902.5,-62.5,4908.125,FALSE,0.8317971583,87.48660142,88.31839858,0.4331588814,87.74242056,88.17557944,0.02191780822
20-Oct-2023,88.1293,88.05,"123,657.00",6037,0.0793,0.09%,88050,147.5,5055.625,FALSE,0.3245433357,87.88772833,88.21227167,0.1060057995,88.0762971,88.1823029,0.01917808219
23-Oct-2023,88.5576,88.235,"117,620.00",25959,0.3226,0.36%,88235,185,5240.625,FALSE,0.7469180503,87.86154097,88.60845903,0.6115360937,88.25183195,88.86336805,0.01095890411
25-Oct-2023,87.8464,87.98,"91,661.00",19745,-0.1336,-0.15%,87980,-255,4985.625,FALSE,0.2928923581,87.83355382,88.12644618,0.9647557146,87.36402214,88.32877786,0.005479452055
26-Oct-2023,87.9194,87.7575,"71,916.00",41813,0.1619,0.18%,87757.5,-222.5,4763.125,FALSE,-0.009110260604,87.76205513,87.75294487,0.1650092484,87.83689538,88.00190462,0.002739726027
27-Oct-2023,88.0544,87.9075,"30,103.00",30103,0.1469,0.17%,87907.5,150,4913.125,FALSE,0.200041037,87.80747948,88.00752052,1.071744598,87.5185277,88.5902723,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
IMPORTANT DETAILS:,,,,,,,,,,,,,,,,,
Expiry,27-Oct-2023,,,,,,,,,,,,,,,,
Lot Size,1000,,,,,,,,,,,,,,,,
Initial Margin,0.05,,,,,,,,,,,,,,,,
Initial Margin Amount,"4,368.125",,,,,,,,,,,,,,,,
Maintenance Margin,0.03,,,,,,,,,,,,,,,,
Maintenance Margin Amount,2620.875,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Final Increase in Margin,545,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Std Deviation of Basis,0.2357932001,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Settlement Excess,-146.9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Final Profit,398.1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Average Futures Spread,0.5,,,,,,,,,,,,,,,,
Assumed Std. of Spread,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Average Spot Spread,0.3,,,,,,,,,,,,,,,,
Assumed Std. of Spread,0.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Number of Contracts,1,,,,,,,,,,,,,,,,